Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);17/10/2025;MGZ01/SURT/00001;MGZ01/Stock;Customers;73;-1;-73.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);17/10/2025;MGZ01/ENTRA/00001;Vendors;MGZ01/Stock;73;1;0.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);23/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;95;-1;-95.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);23/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;76;-1;-171.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);23/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;115;-1;-286.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);23/10/2025;MGZ01/ENTRA/00004;Vendors;MGZ01/Stock;286;1;0.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;96;-1;-96.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;90;-1;-186.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;89;-1;-275.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);29/10/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;275;1;0.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;94;-1;-94.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;106;-1;-200.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);05/11/2025;MGZ01/ENTRA/00009;Vendors;MGZ01/Stock;271;1;71.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;106;-1;-35.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;71;-1;-106.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);07/11/2025;MGZ01/ENTRA/00010;Customers;MGZ01/Stock;106;1;0.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);12/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;102;-1;-102.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);12/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;92;-1;-194.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);12/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;64;-1;-258.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);12/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;258;1;0.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);20/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;121;-1;-121.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;99;-1;-220.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;100;-1;-320.0
[LGM171] Logitech M171 Ratón inalámbrico (LGM171);20/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;320;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;17/10/2025;MGZ01/SURT/00001;MGZ01/Stock;Customers;78;-1;-78.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;17/10/2025;MGZ01/ENTRA/00002;Vendors;MGZ01/Stock;78;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;23/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;87;-1;-87.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;23/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;96;-1;-183.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;23/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;102;-1;-285.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;23/10/2025;MGZ01/ENTRA/00003;Vendors;MGZ01/Stock;285;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;104;-1;-104.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;96;-1;-200.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;97;-1;-297.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;297;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;91;-1;-91.0
