Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
Gel hidroalcohòlic higienitzant de mans;04/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;317;1;317.0
Gel hidroalcohòlic higienitzant de mans;04/11/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;317;-1;0.0
Gel hidroalcohòlic higienitzant de mans;04/11/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;401;-1;-401.0
Gel hidroalcohòlic higienitzant de mans;04/11/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;366;-1;-767.0
Gel hidroalcohòlic higienitzant de mans;04/11/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;340;-1;-1107.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/ENTRA/00020;Vendors;MGZ01/Stock;325;1;-782.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/ENTRA/00018;Vendors;MGZ01/Stock;287;1;-495.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;389;1;-106.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;389;-1;-495.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;287;-1;-782.0
Gel hidroalcohòlic higienitzant de mans;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;325;-1;-1107.0
Gel hidroalcohòlic higienitzant de mans;13/11/2025;MGZ01/ENTRA/00022;Vendors;MGZ01/Stock;1070;1;-37.0
Gel hidroalcohòlic higienitzant de mans;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;313;-1;-350.0
Gel hidroalcohòlic higienitzant de mans;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;402;-1;-752.0
Gel hidroalcohòlic higienitzant de mans;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;355;-1;-1107.0
