Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;23/10/2025;MGZ01/ENTRA/00003;Vendors;MGZ01/Stock;207;1;207.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;73;-1;134.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;69;-1;65.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;24/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;65;-1;0.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;64;-1;-64.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;64;-1;-128.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;80;-1;-208.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;208;1;0.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;05/11/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;196;1;196.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;51;-1;145.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;07/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;77;-1;68.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;07/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;68;-1;0.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;68;-1;-68.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;70;-1;-138.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;69;-1;-207.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;14/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;207;1;0.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;83;-1;-83.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;21/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;85;-1;-168.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;21/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;47;-1;-215.0
[CB0002] Cartolina Kraft A4 260 g, 50 fulls;21/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;215;1;0.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;23/10/2025;MGZ01/ENTRA/00003;Vendors;MGZ01/Stock;179;1;179.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;67;-1;112.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;62;-1;50.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;24/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;50;-1;0.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;59;-1;-59.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;71;-1;-130.0
[PB0001] Unipaper, Paquet de 100 Folis A4 Llisos de 100g;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;94;-1;-224.0
