Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[CF-CREMA750] Cif Crema Netejadora 750 ml;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;199;-1;-199.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;241;-1;-440.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;30/10/2025;MGZ01/ENTRA/00009;Vendors;MGZ01/Stock;743;1;303.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;30/10/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;280;-1;23.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;30/10/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;198;-1;-175.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;30/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;265;-1;-440.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;07/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;826;1;386.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;07/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;292;-1;94.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;281;-1;-187.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;253;-1;-440.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;14/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;745;1;305.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;14/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;239;-1;66.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;14/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;294;-1;-228.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;206;-1;-434.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;21/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;709;1;275.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;21/11/2025;MGZ01/SURT/00018;MGZ01/Stock;Customers;205;-1;70.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;241;-1;-171.0
[CF-CREMA750] Cif Crema Netejadora 750 ml;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;263;-1;-434.0
[KH7-QG780] KH-7 Desgreixador 780 ml;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;182;-1;-182.0
[KH7-QG780] KH-7 Desgreixador 780 ml;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;221;-1;-403.0
[KH7-QG780] KH-7 Desgreixador 780 ml;29/10/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;601;1;198.0
[KH7-QG780] KH-7 Desgreixador 780 ml;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Vendors;601;-1;-403.0
[KH7-QG780] KH-7 Desgreixador 780 ml;30/10/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;785;1;382.0
[KH7-QG780] KH-7 Desgreixador 780 ml;30/10/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;269;-1;113.0
[KH7-QG780] KH-7 Desgreixador 780 ml;30/10/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;260;-1;-147.0
[KH7-QG780] KH-7 Desgreixador 780 ml;30/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;256;-1;-403.0
[KH7-QG780] KH-7 Desgreixador 780 ml;07/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;10;1;-393.0
[KH7-QG780] KH-7 Desgreixador 780 ml;07/11/2025;MGZ01/ENTRA/00010;Vendors;MGZ01/Stock;833;1;440.0
[KH7-QG780] KH-7 Desgreixador 780 ml;07/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;293;-1;147.0
[KH7-QG780] KH-7 Desgreixador 780 ml;07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;295;-1;-148.0
[KH7-QG780] KH-7 Desgreixador 780 ml;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;246;-1;-394.0
[KH7-QG780] KH-7 Desgreixador 780 ml;14/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;732;1;338.0
[KH7-QG780] KH-7 Desgreixador 780 ml;14/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;221;-1;117.0
[KH7-QG780] KH-7 Desgreixador 780 ml;14/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;301;-1;-184.0
[KH7-QG780] KH-7 Desgreixador 780 ml;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;205;-1;-389.0
[KH7-QG780] KH-7 Desgreixador 780 ml;21/11/2025;MGZ01/ENTRA/00017;Vendors;MGZ01/Stock;706;1;317.0
[KH7-QG780] KH-7 Desgreixador 780 ml;21/11/2025;MGZ01/SURT/00018;MGZ01/Stock;Customers;194;-1;123.0
[KH7-QG780] KH-7 Desgreixador 780 ml;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;267;-1;-144.0
[KH7-QG780] KH-7 Desgreixador 780 ml;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;245;-1;-389.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;212;-1;-212.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;222;-1;-434.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;24/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;183;-1;-617.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;30/10/2025;MGZ01/ENTRA/00009;Vendors;MGZ01/Stock;718;1;101.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;30/10/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;281;-1;-180.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;30/10/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;201;-1;-381.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;30/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;236;-1;-617.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;07/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;775;1;158.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;07/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;271;-1;-113.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;266;-1;-379.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;238;-1;-617.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;14/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;765;1;148.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;14/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;245;-1;-97.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;14/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;306;-1;-403.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;207;-1;-610.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;21/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;685;1;75.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;21/11/2025;MGZ01/SURT/00018;MGZ01/Stock;Customers;209;-1;-134.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;242;-1;-376.0
[SD-2000SNYT] Sanytol Netejador Desinfectant 2 L;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;234;-1;-610.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);24/10/2025;Cantidad de producto actualizada (Bernat Carbonell Pieras);Inventory adjustment;MGZ01/Stock;19;1;19.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;201;-1;-182.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;230;-1;-412.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);29/10/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;625;1;213.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Vendors;625;-1;-412.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);30/10/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;749;1;337.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);30/10/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;285;-1;52.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);30/10/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;210;-1;-158.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);30/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;254;-1;-412.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);07/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;10;1;-402.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);07/11/2025;MGZ01/ENTRA/00010;Vendors;MGZ01/Stock;795;1;393.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);07/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;289;-1;104.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;284;-1;-180.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;222;-1;-402.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);14/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;770;1;368.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);14/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;260;-1;108.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);14/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;276;-1;-168.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;228;-1;-396.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);21/11/2025;MGZ01/ENTRA/00017;Vendors;MGZ01/Stock;672;1;276.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);21/11/2025;MGZ01/SURT/00018;MGZ01/Stock;Customers;184;-1;92.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;238;-1;-146.0
[VL-BAYETA-UF3] Bayeta Microfibra Vileda Ultra Fresh (pack 3);21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;250;-1;-396.0
