Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;22/10/2025;MGZ01/ENTRA/00003;Vendors;MGZ01/Stock;350;1;350.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;110;-1;240.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;127;-1;113.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;24/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;113;-1;0.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;121;-1;-121.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;77;-1;-198.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;133;-1;-331.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;29/10/2025;MGZ01/ENTRA/00006;Vendors;MGZ01/Stock;331;1;0.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;132;-1;-132.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;79;-1;-211.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;118;-1;-329.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;05/11/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;329;1;0.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;107;-1;-107.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;102;-1;-209.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;114;-1;-323.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;14/11/2025;MGZ01/ENTRA/00009;Vendors;MGZ01/Stock;323;1;0.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;19/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;95;-1;-95.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;98;-1;-193.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;19/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;112;-1;-305.0
[AP0004] ARXIVADOR DE PALANCA - ESSELTE;19/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;305;1;0.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;22/10/2025;MGZ01/ENTRA/00004;Vendors;MGZ01/Stock;367;1;367.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;138;-1;229.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;127;-1;102.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;24/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;102;-1;0.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;135;-1;-135.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;101;-1;-236.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;108;-1;-344.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;344;1;0.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;133;-1;-133.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;98;-1;-231.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;115;-1;-346.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;05/11/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;346;1;0.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;118;-1;-118.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;106;-1;-224.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;118;-1;-342.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;14/11/2025;MGZ01/ENTRA/00010;Vendors;MGZ01/Stock;342;1;0.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;19/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;119;-1;-119.0
[BB0001] BOLÍGRAFS BIG - NEGRE - 50 UNITATS;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;93;-1;-212.0
